cl hl sl el mrsc
aBiSaMsI_1 aBiSaMsI_1 - incriminator_1 _incriminator/NN_u_unknown
aBiSaMsI_2 aBiSaMsI_2 - incriminating_1 _incriminating/VBG_u_unknown
aBiSaMsI_3 aBiSaMsI_3 - incriminatory_1 _incriminatory/NN_u_unknown
aBisaMXi_1 aBisaMXi_1 - conspiracy_1 _conspiracy_n_1
aBisaMXi_2 aBisaMXi_2 - plot_1 _plot_n_of
aBiSApa_1 aBiSApa_1 aBiSApa_1 curse_1 _curse_n_1
aBiSapwa_1 aBiSapwa_1 - cursed_1 _curse_v_1
aBiSapwa_2 aBiSapwa_2 - accursed_3 _accursed/VBN_u_unknown
aBisAra_1 aBisAra_1 - meeting_2 _meeting_n_of
aBisaraNa_1 aBisaraNa_1 - convergence_1 _convergence_n_1
aBisArI_1 aBisArI_1 - convergent_1 _convergent/JJ_u_unknown
aBisUcaka_1 aBisUcaka_1 - index_2 _index_n_1
aBivacana_1 aBivacana_1 - plea_1 _plea_n_1
aBivacana_2 aBivacana_2 - affirmation_1 _affirmation_n_of
aBivakwA_1 aBivakwA_1 - pleader_1 _pleader/NN_u_unknown
aBivAxana_1 aBivAxana_1 - greeting_2 _greeting_n_1
aBivAxana+kara_1 aBivAxana+kara_1 aBivanxa_1 salute_2 _salute_v_1
aBivecana_1 aBivecana_1 - censorship_1 _censorship_n_of
aBivqwwi_1 aBivqwwi_1 - attitude_1 _attitude_n_1
aBivqwwi_2 aBivqwwi_2 - aptitude_1 _aptitude/NN_u_unknown
aBivqxXi_1 aBivqxXi_1 - prosperity_1 _prosperity_n_1
aBivqxXi_2 aBivqxXi_2 - development_1 _development_n_of
aBivqxXi_3 aBivqxXi_3 - progress_1 _progress_n_1
aBivyakwa_1 aBivyakwa_1 - expressed_6 _express_v_to
aBivyakwa+kara_1 aBivyakwa+kara_1 nivix_1 state_12 _state_v_to
aBivyakwi_1 aBivyakwi_1 - expression_3 _expression_n_1
aBivyakwi_2 aBivyakwi_2 aBivyakwi_1 manifestation_2 _manifestation_n_1
